Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Software Engineer I,"Memphis, TN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57187,62655,68661,75284,81314
Software Engineer I,"Louisville, KY","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58192,63757,69869,76608,82744
Software Engineer I,"Baltimore, MD","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",63438,69504,76167,83513,90202
Software Engineer I,"Milwaukee, WI","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61074,66914,73328,80401,86841
Software Engineer I,"Albuquerque, NM","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57773,63297,69365,76056,82147
Software Engineer I,"Tucson, AZ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57983,63527,69617,76332,82446
Software Engineer I,"Fresno, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61389,67259,73707,80816,87289
Software Engineer I,"Mesa, AZ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60969,66799,73203,80264,86693
Software Engineer I,"Sacramento, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66702,73081,80086,87811,94844
Software Engineer I,"Atlanta, GA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61043,66880,73291,80361,86797
Software Engineer I,"Kansas City, MO","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60519,66306,72662,79671,86052
Software Engineer I,"Colorado Springs, CO","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61420,67293,73744,80857,87333
Software Engineer I,"Omaha, NE","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58343,63922,70050,76806,82958
Software Engineer I,"Raleigh, NC","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",59717,65427,71699,78615,84911
Software Engineer I,"Miami, FL","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60075,65820,72129,79087,85421
Software Engineer I,"Long Beach, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68807,75386,82613,90581,97836
Software Engineer I,"Virginia Beach, VA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58995,64636,70832,77664,83885
Software Engineer I,"Oakland, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",73435,80457,88170,96674,104417
Software Engineer I,"Minneapolis, MN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",65746,72033,78938,86552,93484
Software Engineer I,"Tulsa, OK","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",59205,64866,71084,77940,84183
Software Engineer I,"Tampa, FL","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58736,64352,70521,77323,83516
Software Engineer I,"Arlington, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60032,65772,72078,79030,85360
Software Engineer I,"New Orleans, LA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61047,66884,73296,80365,86802
Software Engineer I,"Wichita, KS","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",59427,65109,71351,78233,84499
Software Engineer I,"Bakersfield, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66091,72411,79353,87007,93975
Software Engineer I,"Cleveland, OH","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61081,66921,73336,80410,86850
Software Engineer I,"Aurora, CO","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",62366,68330,74880,82102,88678
Software Engineer I,"Anaheim, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68961,75555,82798,90784,98056
Software Engineer I,"Honolulu, HI","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",63969,70085,76804,84212,90957
Software Engineer I,"Santa Ana, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68868,75454,82687,90662,97924
Software Engineer I,"Riverside, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66017,72330,79264,86909,93870
Software Engineer I,"Corpus Christi, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57921,63460,69543,76251,82358
Software Engineer I,"Lexington, KY","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58112,63669,69773,76503,82630
Software Engineer I,"Henderson, NV","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",62790,68794,75389,82660,89281
Software Engineer I,"Stockton, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",65949,72256,79182,86820,93774
Software Engineer I,"Saint Paul, MN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",65746,72033,78938,86552,93484
Software Engineer I,"Cincinnati, OH","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60346,66117,72455,79443,85806
Software Engineer I,"Pittsburgh, PA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60784,66597,72981,80020,86429
Software Engineer I,"Greensboro, NC","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58976,64615,70809,77639,83857
Software Engineer I,"Lincoln, NE","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58062,63614,69712,76436,82558
Software Engineer I,"Anchorage, AK","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68634,75197,82405,90354,97590
Software Engineer I,"Plano, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",61046,66883,73295,80365,86801
Software Engineer I,"Orlando, FL","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",58705,64318,70484,77282,83472
Software Engineer I,"Irvine, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",68807,75386,82613,90581,97836
Software Engineer I,"Newark, NJ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",70473,77212,84613,92775,100205
Software Engineer I,"Durham, NC","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",59372,65049,71285,78161,84421
Software Engineer I,"Chula Vista, CA","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",66595,72963,79957,87670,94691
Software Engineer I,"Toledo, OH","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",59729,65441,71714,78631,84929
Software Engineer I,"Fort Wayne, IN","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",57570,63075,69121,75788,81859
Software Engineer I,"Laredo, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",55002,60262,66038,72408,78208
Software Engineer I,"Jersey City, NJ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",74237,81336,89133,97730,105558
Software Engineer I,"Chandler, AZ","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60969,66799,73203,80264,86693
Software Engineer I,"Madison, WI","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",60466,66248,72598,79601,85977
Software Engineer I,"Lubbock, TX","Software Engineer I designs and develops software applications. Performs coding, debugging, testing and troubleshooting throughout the application development process. Being a Software Engineer I requires a bachelor&#39;s degree. Typically reports to a manager. The Software Engineer I works on projects/matters of limited complexity in a support role. Work is closely managed. To be a Software Engineer I typically requires 0-2 years of related experience.",55582,60897,66735,73172,79032
